Module,Feature / Task,How It Looks in the System,Comment / Decision,Tag,Priority,Status
Dashboard,Personalized My Journey dashboard (progress upcoming activities AI recommendations),AI Daily Focus banner + 4 stat cards + Upcoming Activities + Learning Contract,[SS52]/[AS53R52] Alerts prompts & progress suggestions. [SS54R52] Samples shown in UX demo - clear,Dashboard,High,In UI + In Req
Dashboard,Visual timeline of all program phases with completion indicators + locked/unlocked status,Learning Journey Timeline (done/active/locked) + sidebar Current Phase box,Finalized (green),Dashboard / Progress,High,In UI + In Req
Dashboard,Activity cards with due dates estimated time type icon & priority flags,Upcoming Activities rows (type badge due date Due-Today flag progress Continue/Review),Finalized (green),Dashboard,Medium,In UI + In Req
Dashboard,Notification center (in-app email push) for reminders feedback cohort updates,Header bell -> notification dropdown (in-app); email/push are backend channels,[SS55]/[AS56R55] Agree - visualize process + notification list in development phase,Dashboard / Cross-Role,High,In UI + In Req (full list email & push dev-phase)
Dashboard,AI-generated Daily Focus prompt based on learning contract + schedule,AI Daily Focus banner with contextual insight,[SS57]/[SS58R57] Discussed with examples - clear,Dashboard,Medium,In UI + In Req
Dashboard,Personalized resource library with AI-tagged articles videos & tools,AI recommendation cards inline in Pre-Work; no standalone library view,[SS59]/[AS60R59] Internal Library + external links (viewed on host platforms). [SS61R59] Clear,Dashboard / Pre-Work,Medium,In Req only (dedicated tagged library to build)
Pre-Work,Access to SCORM/xAPI/H5P/PDF/Video modules with progress saving,Module cards (Video/PDF/Case/Assessment) with icon duration progress Start/Resume/Done,Finalized (green),Pre-Work,High,In UI + In Req (SCORM/xAPI/H5P player = backend)
Pre-Work,Estimated completion time per module + adaptive sequencing based on prior knowledge,Duration per module + Estimated remaining + AI Recommendation suggests order,Finalized (green). Adaptive sequencing via AI,Pre-Work,Medium,In UI + In Req (true adaptive logic to build)
Pre-Work,Note-taking & highlighting tool within content viewer,Note-Taking card with textarea + Save Note,Finalized (green). Highlighting to build,Pre-Work,Medium,In UI + In Req (in-content highlighting to build)
Pre-Work,Completion gates requiring minimum engagement (e.g. 80% video) before advancing,Not shown as enforced gate,Finalized (green). Maps to activity config_json completion rules,Pre-Work,Medium,In Req only
Pre-Work,Mobile-responsive content viewer with offline-access,Mobile participant views exist; offline not shown,Finalized (green),Pre-Work,Medium,In Req only (offline caching to build)
Assessments,Multiple types (MCQ drag-drop scenario rating open-ended),Upcoming shows MCQ+Open-ended/Rating; survey engine covers mcq/rating/open,Finalized (green),Assessments,High,In UI + In Req (drag-drop & scenario players to build)
Assessments,Timed & untimed with attempt limits configured by Program Manager,Upcoming show duration; attempt limits in activity config,[SS65]/[AS66R65] Predefined time period. [SS67R65] Clear. Limits set by PM,Assessments / Cross-Role,High,In UI + In Req (PM config -> assessment config_json)
Assessments,Instant auto-scored results with competency breakdown (future cohort/segment comparison),Results tab: Competency pre vs post + Overall Score dial + quartile badge,[SS62]/[AS63R62] Depends on client org structure & program type. [SS64R62] Clear,Assessments / Cross-Role,High,In UI + In Req (segment comparison = future)
Assessments,Retake logic with cooling-off periods + score averaging,Not shown,Finalized (green). Maps to assessment config (attempts cooling_off_hours scoring_method),Assessments,Medium,In Req only
Assessments,AI-generated developmental commentary based on results,AI Developmental Commentary card,[SS68]/[AS69R68] AI-generated interpretations. [SS70R68] Clear,Assessments,Medium,In UI + In Req
Assessments,Psychometric integration (DISC MBTI Hogan EQ-i) via API or manual upload,Psychometric Results card (DISC MBTI EQ-i),[SS71]/[AS72R71] Agree - API + manual upload,Assessments / Cross-Role,Medium,In UI + In Req (ingestion to wire)
360,Self-nomination of raters (peers direct reports managers) within platform constraints,Manage Raters tab: nominate (name/email/relationship) + quorum per relationship,[SS73]/[AS74R73] Only user access for rater (limited role). [SS75R73] That's the way it will be,360 / Cross-Role,High,In UI + In Req
360,Anonymous feedback submission by raters with progress reminders,Response Tracker tab: per-rater status Send Reminder / Remind All + deadline,Finalized (green). Responses anonymous; reminders built,360 / Cross-Role,High,In UI + In Req
360,Visual competency spider/radar chart comparing self vs others,360 Results tab: SVG radar (Self vs Others) + per-competency bars,Finalized (green),360,Medium,In UI + In Req
360,AI-generated narrative development report (strengths blind spots recommended actions),AI Narrative Summary card (Strengths/Blind Spots/Development Theme),Finalized (green),360,Medium,In UI + In Req
360,Downloadable PDF feedback report with privacy controls,Download PDF Report button,[SS76]/[AS78R76] SA does validation; user-wise access controls. [SS80]/[AS81R80] Mostly access-based,360 / Cross-Role,Medium,In UI + In Req (granular controls to build)
Live Sessions,Session calendar with virtual meeting links (Zoom Teams Google Meet),Desktop = placeholder stub. Mobile = upcoming card + Join Zoom + session list,Finalized (green),Live Sessions / Cross-Role,High,In Req only (full calendar + integration to build)
Live Sessions,Pre-session preparation checklist and reading list,Not in participant reference UI,Finalized (green),Live Sessions,Medium,In Req only
Live Sessions,In-session digital attendance live polling Q&A breakout group assignment,Not in participant view; Faculty side has session tools (Poll Breakout Timer Attendance QR),[SS80]/[AS81R80] Mostly access/config-based. Participant consumes; Faculty runs tools,Live Sessions / Cross-Role,High,In Req only (participant-side to build)
Live Sessions,Post-session reflection journal (prompted + open) + session resources download,Reflection journal referenced as activity type; no dedicated post-session view,Finalized (green),Live Sessions,Medium,In Req only
Live Sessions,Recording access (if enabled) with timestamp navigation + AI transcript & summary,Not in participant reference UI,[SS82]/[AS83R82] Will give timestamp navigation + AI transcript/summary,Live Sessions,Medium,In Req only
Coaching,Assigned coach + participant profiles & contacts,"Coaching page -> ""My Coach"" card: coach name, credential (ICF PCC), avatar, next-session chip","Finalized (green). Participant sees assigned coach; coach sees assigned participant",Coaching / Cross-Role,High,In UI + In Req
Coaching,Assigned coaching cohort view (member profiles + contacts),Group coaching phase in journey; cohort/member listing for group coaching,Finalized (green). Participant can view coaching cohort members,Coaching / Cross-Role,Medium,In Req only (cohort member list not in participant UI yet)
